Rank,Insurer,PrimaryFocus,Notes,Website
1,Santam,Personal and commercial,One of the largest short-term insurers in South Africa,https://www.santam.co.za
2,Old Mutual Insure,Personal and commercial,Major incumbent with broad broker network,https://www.ominsure.co.za
3,Hollard,Personal and commercial,Large insurer with multiple partnerships,https://www.hollard.co.za
4,Discovery Insure,Personal motor and household,Telematics-driven pricing and rewards model,https://www.discovery.co.za/insure
5,MiWay,Personal and small business,Digital/direct insurer under Santam group,https://www.miway.co.za
6,King Price,Personal short-term,Known for declining-value car premium model,https://www.kingprice.co.za
7,Budget Insurance,Personal short-term,Large direct insurer in the Telesure group,https://www.budgetinsurance.co.za
8,Auto & General,Personal short-term,Long-established direct insurer,https://www.autogen.co.za
9,Bryte Insurance,Commercial and specialist,Strong commercial and niche underwriting presence,https://www.brytesa.com
10,Pineapple,Personal short-term (digital),Digital-first insurer focused on simple app-based cover,https://www.pineapple.co.za
11,Naked Insurance,Personal short-term (digital),AI-enabled digital insurer for car, home and contents,https://www.naked.insure
12,Telesure Investment Holdings,Insurance group (multi-brand),Major insurance group behind several direct short-term brands,https://www.tihsa.co.za
